,total_cup_points,species,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,continent
0,90.58,Arabica,Ethiopia,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,0.12,Africa
1,89.92,Arabica,Ethiopia,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,0.12,Africa
2,89.75,Arabica,Guatemala,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,0.0,North America
3,89.0,Arabica,Ethiopia,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,0.11,Africa
4,88.83,Arabica,Ethiopia,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,0.12,Africa
5,88.83,Arabica,Brazil,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,0.11,South America
6,88.75,Arabica,Peru,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,0.11,South America
7,88.67,Arabica,Ethiopia,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,0.03,Africa
8,88.42,Arabica,Ethiopia,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,0.03,Africa
9,88.25,Arabica,Ethiopia,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,0.1,Africa
10,88.08,Arabica,Ethiopia,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,0.1,Africa
11,87.92,Arabica,United States,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,0.0,North America
12,87.92,Arabica,United States,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,0.0,North America
13,87.92,Arabica,United States (Hawaii),8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,0.0,North America
14,87.83,Arabica,Ethiopia,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,0.05,Africa
15,87.58,Arabica,United States,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,0.0,North America
16,87.42,Arabica,Indonesia,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,0.03,Asia
17,87.33,Arabica,Ethiopia,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,0.05,Africa
18,87.25,Arabica,China,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,0.1,Asia
19,87.25,Arabica,Ethiopia,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,0.0,Africa
20,87.25,Arabica,United States,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,0.0,North America
21,87.17,Arabica,Costa Rica,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,0.11,North America
22,87.17,Arabica,Mexico,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,0.13,North America
23,87.08,Arabica,United States,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,0.0,North America
24,87.08,Arabica,Ethiopia,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,0.11,Africa
25,86.92,Arabica,Brazil,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,0.12,South America
26,86.92,Arabica,Ethiopia,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,0.05,Africa
27,86.83,Arabica,Uganda,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,0.12,Africa
28,86.67,Arabica,Honduras,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,0.1,North America
29,86.58,Arabica,Taiwan,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,0.0,Asia
30,86.58,Arabica,Nicaragua,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,0.08,North America
31,86.5,Arabica,"Tanzania, United Republic Of",8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,0.11,Africa
32,86.42,Arabica,Brazil,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,0.12,South America
33,86.33,Arabica,Costa Rica,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,0.0,North America
34,86.25,Arabica,Ethiopia,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,0.1,Africa
35,86.25,Arabica,Kenya,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,0.12,Africa
36,86.25,Arabica,United States (Hawaii),8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,0.0,North America
37,86.25,Arabica,United States (Hawaii),8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,0.0,North America
38,86.25,Arabica,Ethiopia,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.1,Africa
39,86.17,Arabica,United States,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,0.0,North America
40,86.17,Arabica,Thailand,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,0.1,Asia
41,86.17,Arabica,Brazil,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,0.08,South America
42,86.17,Arabica,Brazil,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,0.01,South America
43,86.08,Arabica,Taiwan,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,0.12,Asia
44,86.08,Arabica,Kenya,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,0.11,Africa
45,86.08,Arabica,Brazil,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,0.11,South America
46,86.0,Arabica,Uganda,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,0.0,Africa
